제품명,설명
매실 막걸리,새콤달콤 광양 매실과 막걸리가 만나다
백운 복분자 와인,복분자주의 명가 백운주가가 만든 복분자와인
백운 복분자주,매년 주류품평회를 석권한 명품 복분자주
배도가 로아 40도 옐로우,흰 빛깔의 이슬을 뜻하는 프리미엄 증류주
유자 생 막걸리,유자향 가득 머금은 생막걸리
복분자음,2014 대한민국 우리술품평회 최우수상 수상
고구마 아락,2016 대한민국 우리술품평회 우수상 수상
복분자 아락,2015 대한민국 우리술품평회 대상 수상
오매락퍽,2015년 대한민국 우리술품평회 리큐르 부문 최우수상 수상
감아락 25도,대봉감의 달콤함이 담긴 색다른 맛의 감동
민속주 안동소주 400ml,전통식품명인이 빚은 정통 안동소주
민속주 안동소주 600ml,전통식품명인이 빚은 정통 안동소주
민속주 안동소주 800ml,전통식품명인이 빚은 정통 안동소주
문배술 헤리티지 40도,"1,000년의 깊은 맛과 향을 간직하다"
문배술 헤리티지 25도,"1,000년의 깊은 맛과 향을 간직하다"
문배술 헤리티지 23도,"1,000년의 깊은 맛과 향을 간직하다"
명인 안동소주 22도,명인이 빚은 안동소주의 맛과 향을 간직한 새로운 안동소주
명인 안동소주 양반탈,식품명인 6호 박재서 명인이 빚은 증류식소주
명인 안동소주 호리병,식품명인 6호 박재서 명인이 빚은 증류식소주
청양 둔송 구기주,식품명인11호 임영순 명인이 빚은 구기자술
두레앙 브랜디,2015 대한민국 우리술품평회 최우수상 수상
두레앙 증류주,대한민국 우리술품평회 2회 석권에 빛나는 증류주
두레앙 와인,천안시 특산물 거봉 포도로 만든 한국와인
펀치 쌀 바나나,2016년 대한민국 우리술품평회 장려상 수상
부안 참뽕 와인,부안의 특작물 참뽕으로 발효한 한국와인
부안 참뽕 막걸리,대한민국 우리술품평회 살균막거리 부문 수상제품
줄포 생 막걸리,2014 대한민국 우리술품평회 생막걸리 최우수상
무주 구천동 산머루주,무주의 특산물 산머루로 빚은 머루주
무주 구천동 머루와인,무주의 특산물 머루로 빚은 와인
천마몽,무주에서 자란 천마로 빚는 전통주
천매,황매실과 매실청을 브랜딩한 최상급 매실주
원매 프리미엄,국내 유일하게 황매실 100%로 담근 프리미엄 매실주
매실원주 15도,국내 유일하게 매실주 100%로 담근 매실주
