,제품명,주종,도수,용량,가격,원재료,제조사
422,천년주,일반증류주,25%,375ml,15000,"쌀(국내산),천년초(열매),조효소제,효모,젖산,정제효소,구연산,정제수",농업회사법인(주)영덕주조
423,천등산차례주,청주,11%,700ml,700ml5900,"쌀(국내산),구연산,효모,젖산,정제효소제,국,주정,정제수",고헌정영농조합법인
424,천마이야기_750ml,탁주,6%,750ml,1500,"팽화미,입국미,무주천마분말,오미자추출액",농업회사법인산들벗(주)
425,천마몽_375ml,리큐르,38%,375ml,15000,"쌀,누룩,효모,천마,정제수",덕유양조
426,천매_600ml,리큐르,30%,600ml,130000,"매실주원액,발효주정,정제수,꿀",더한주류
427,천비향오양주약주,약주,16%,500ml,40000,"국내산쌀,누룩",농업회사법인(주)좋은술
428,천비향오양주탁주,탁주,14%,500ml,18000,"국내산쌀,누룩",농업회사법인(주)좋은술
429,천비향화주,증류식소주,40%,375ml,50000,"국내산쌀,누룩",농업회사법인(주)좋은술
430,천안연미주_360ml,살균약주,13%,360ml,5000,"백미100%(국내산),한약재홍삼외6가지",농업회사법인입장주조㈜
431,천지주가생막걸리,생탁주,6%,750ml,1400,"쌀,정제수,국,효모등",(유)산에들에농업회사법인
432,청남대블루베리막걸리,탁주,6%,750ml,25000750ml*9병,"국내산쌀,블루베리엑기스,효모,조효소재,물엿,아스파탐,정제수",농업회사법인명세주가(주)
433,청명주500,약주,17%,500ml,23000,"국내산찹쌀,누룩,소맥분",중원당
434,청명주750,약주,17%,750ml,36000,"국내산찹쌀,누룩,소맥분",중원당
435,청산녹수꿀막걸리,탁주,8%,750ml,18000750ml*12병세트,"쌀(국내산),벌꿀(국내산),사과농축액,효모,정제효소",농업회사법인(주)청산녹수
436,청산녹수사미인주,탁주,8%,750ml,32000750ml*8병세트,"유기농햅쌀(국내산),벌꿀(국내산),입국,누룩,효모,정제수",농업회사법인(주)청산녹수
437,청산녹수생탁주,탁주,6%,750ml,12000750ml*12병세트,"쌀(국내산),사과농축액,효모,정제효소",농업회사법인(주)청산녹수
438,청세주,약주,18%,375ml,4000,쌀(100%),병영주조장
439,청송얼음골동동주,탁주,6%,"1,200ml",1800,"쌀(국내산),밀가루,누룩,입국,효모,아스파탐,청송사과액즙,정제수",청송양조장
440,청송주왕사과막걸리,탁주,6%,750ml,1500,"쌀(국내산),밀가루,누룩,입국,효모,아스파탐,청송사과액즙,정제수",청송양조장
441,청양둔송구기주_700ml,약주,16%,700ml,23000700ml*2병,"쌀,누룩,구기자,감초,두충껍질",청양둔송구기주
442,청진주,약주,16%,375ml,30000,"찹쌀,누룩,정제수",전통주연구개발원
443,청춘_750ml,청주,15%,750ml,20000,"쌀,누룩,정제수",농업회사법인신탄진주조(주)
444,초선의꿈(로제),과실주(포도),12%,375ml,20000,국내산포도100%,여포와인농장
445,추사로제,과실주,12%,375ml,20000,사과(국내산),예산사과와인(주)
446,추사애플와인_375ml,과실주,12%,375ml,20000,사과(국내산),예산사과와인(주)
447,추사40,일반증류주,40%,500ml,60000,사과(국내산),예산사과와인(주)
448,추사백25,일반증류주,25%,350ml,12000,"증류원액(사과증류원액,사과:국내산),정제수",예산사과와인
449,추사블루_375ml,과실주,12%,375ml,20000,블루베리(국내산),예산사과와인(주)
450,추성주,일반증류주,25%,700ml,80000,"쌀,정제수,누룩,오미자,구기자,상심자,갈근",추성고을
451,추시와인,기타주류,12.5%,750ml,16000,감(국내산)100%,양촌감영농조합법인
452,충주백주,일반증류주,35%,375ml,7800,"쌀증류원액(국내산),당귀,아스파탐,아세설팜K,구연산,정제수",고헌정영농조합법인
453,컨츄리산머루와인(드라이),과실주,14%,750ml,20000,국산산머루원액100%,컨츄리농원
454,컨츄리산머루와인(스위트),과실주,12%,750ml,20000,국산산머루원액100%,컨츄리농원
455,컨츄리캠벨(스위트),과실주,12%,750ml,15000,국산포도원액100%(캠벨얼리100%),컨츄리농원
456,"코이버펑크,머스캣베일리에이",과실주,12%,750ml,65000,와이너리재배포도100%,코이버펑크
457,"코이버펑크,샤르도네세미용블렌드",과실주,11%,750ml,65000,와이너리재배포도100%,코이버펑크
458,"코이버펑크,카베르네소비뇽",과실주,12%,750ml,와너리재배포도100%,코이버펑크,"고성찬,이금자,정재학"
459,쿨샷7.5,과실주,7.5%,300ml,60000300ml*20병,"복분자과실,주정,효모,구연산,정제수",농업회사법인고창선운산(유)
460,크라테레드와인드라이,과실주,11.5%,750ml,48000,산머루,수도산와이너리
461,크라테레드와인스위트,과실주,11.5%,750ml,48000,산머루,수도산와이너리
462,크라테로제와인,과실주,11.5%,375ml,18000,산머루,수도산와이너리
463,타미앙스,일반증류주,40%,500ml,50000,"쌀,정제수,누룩,오미자,구기자,상심자,갈근",추성고을
464,톡쏘는복분자막걸리,살균탁주,6%,750ml,1800,"쌀,정제수,쌀입국,복분자원액,효모등",가평우리술
